Technology and Innovation,the Overview of Technology and Innovation,linear,none
Smartphone penetration (%),Startup success rate (%)
20.0,39.48
20.9,5.0
21.81,20.38
22.71,40.16
23.61,44.67
24.52,45.51
25.42,16.59
26.33,44.9
27.23,41.38
28.13,14.59
29.04,38.61
29.94,41.28
30.84,21.95
31.75,27.21
32.65,32.47
33.55,36.57
34.46,25.64
35.36,29.23
36.27,11.8
37.17,23.33
38.07,25.92
38.98,19.52
39.88,28.79
40.78,35.65
41.69,25.52
42.59,30.0
43.49,29.25
44.4,21.62
45.3,35.94
46.2,19.13
47.11,15.22
48.01,24.77
48.92,25.61
49.82,11.44
50.72,35.72
51.63,29.85
52.53,22.26
53.43,16.88
54.34,24.41
55.24,23.45
56.14,16.59
57.05,12.46
57.95,27.47
58.86,28.31
59.76,37.26
60.66,24.59
61.57,37.27
62.47,9.82
63.37,24.86
64.28,32.66
65.18,16.84
66.08,27.0
66.99,40.89
67.89,49.27
68.8,12.79
69.7,25.8
70.6,26.27
71.51,50.0
72.41,36.5
73.31,30.05
74.22,24.21
75.12,21.08
76.02,11.22
76.93,42.93
77.83,10.85
78.73,31.04
79.64,19.0
80.54,9.26
81.45,27.5
82.35,20.92
83.25,32.35
84.16,44.16
85.06,38.23
85.96,42.02
86.87,49.34
87.77,9.93
88.67,19.45
89.58,25.12
90.48,32.72
91.39,43.57
92.29,20.91
93.19,36.82
94.1,18.7
95.0,20.44
