Technology and Innovation,the Comparison of Technology and Innovation,exponential,negative
Patent count (count),E-commerce sales ($)
1.0,1000000000.0
21.81,807235304.17
42.63,808860393.36
63.44,782041773.33
84.25,534661295.61
105.06,570480282.46
125.88,436864358.35
146.69,496387057.22
167.5,417244903.01
188.31,321335039.86
209.13,238483036.21
229.94,435024442.46
250.75,412454082.32
271.56,191568219.23
292.38,214685548.74
313.19,368855888.43
334.0,454582472.05
354.81,249032388.59
375.62,265565362.39
396.44,134941633.63
417.25,204760173.57
438.06,200153014.39
458.88,169315655.13
479.69,198151187.94
500.5,254864837.2
521.31,106818881.49
542.13,237926686.36
562.94,265489675.19
583.75,125682898.32
604.56,59450315.93
625.38,439258721.73
646.19,198922617.86
667.0,100086195.69
687.81,10000.0
708.63,369070817.98
729.44,189098393.53
750.25,84523068.35
771.06,192385872.19
791.88,135870552.29
812.69,169479326.38
833.5,206901437.83
854.31,96405134.13
875.12,89925997.61
895.94,159934257.35
916.75,130233137.81
937.56,184722742.83
958.38,235046819.53
979.19,28927063.84
1000.0,185595418.55
