Technology and Innovation,the Relationship of Technology and Innovation,u_shape,positive
Data usage (GB/month),E-commerce sales ($)
1.0,939668793.67
16.37,881720841.38
31.74,844368465.28
47.11,863107592.31
62.48,704312081.51
77.85,703524203.91
93.22,638566402.32
108.58,611651292.98
123.95,515225951.68
139.32,539177066.21
154.69,469479280.52
170.06,439922086.54
185.43,389447712.02
200.8,322952496.09
216.17,310622494.45
231.54,314621887.98
246.91,290965881.4
262.28,238925216.3
277.65,228642915.85
293.02,208285692.83
308.38,179353464.74
323.75,72098962.81
339.12,138651023.46
354.49,77690285.16
369.86,69029753.48
385.23,51169269.84
400.6,76594216.91
415.97,37791257.34
431.34,12522864.69
446.71,94696154.8
462.08,31630153.21
477.45,10000.0
492.82,68695530.98
508.18,3525262.12
523.55,50058525.5
538.92,31148001.82
554.29,30402451.59
569.66,83684762.77
585.03,65333852.39
600.4,63682898.45
615.77,37454066.59
631.14,152524049.69
646.51,26919494.42
661.88,100248713.85
677.25,119576366.14
692.62,176330468.77
707.98,168569798.81
723.35,215051771.37
738.72,233949836.11
754.09,237827378.11
769.46,280887588.8
784.83,355371191.57
800.2,342964151.77
815.57,408663099.24
830.94,449249767.63
846.31,434902578.1
861.68,479195341.61
877.05,570400225.32
892.42,623771418.23
907.78,652296040.74
923.15,626415674.1
938.52,742357840.75
953.89,790094554.63
969.26,842512589.66
984.63,837651555.47
1000.0,1000000000.0
