Tourism and Hospitality,the Pattern of Tourism and Hospitality,linear,none
Seasonality index (index),Booking conversion (%)
0.0,5.13
0.14,8.22
0.29,7.99
0.43,0.89
0.58,7.32
0.72,11.1
0.87,12.32
1.01,6.5
1.16,10.42
1.3,14.62
1.45,13.68
1.59,10.6
1.74,10.25
1.88,4.38
2.03,7.98
2.17,9.04
2.32,12.41
2.46,10.79
2.61,10.23
2.75,9.16
2.9,1.82
3.04,9.37
3.19,11.43
3.33,14.77
3.48,7.55
3.62,7.61
3.77,13.35
3.91,12.94
4.06,10.65
4.2,13.42
4.35,12.84
4.49,10.42
4.64,8.5
4.78,20.0
4.93,5.89
5.07,10.27
5.22,11.37
5.36,14.36
5.51,8.82
5.65,14.28
5.8,7.31
5.94,11.64
6.09,0.0
6.23,14.41
6.38,12.44
6.52,2.97
6.67,9.87
6.81,7.94
6.96,7.55
7.1,12.74
7.25,9.44
7.39,11.6
7.54,14.58
7.68,10.86
7.83,5.14
7.97,13.57
8.12,14.63
8.26,15.38
8.41,13.49
8.55,4.97
8.7,5.86
8.84,10.64
8.99,10.87
9.13,9.69
9.28,17.79
9.42,4.9
9.57,9.77
9.71,7.21
9.86,7.79
10.0,2.39
