Tourism and Hospitality,the Interaction of Tourism and Hospitality,u_shape,negative
Seasonality index (index),Occupancy rate (%)
0.0,30.0
0.11,45.56
0.22,46.33
0.32,48.03
0.43,39.23
0.54,43.27
0.65,53.95
0.75,45.67
0.86,50.08
0.97,57.71
1.08,59.02
1.18,60.94
1.29,58.94
1.4,63.68
1.51,70.2
1.61,70.23
1.72,68.06
1.83,74.22
1.94,73.22
2.04,67.14
2.15,80.26
2.26,78.86
2.37,75.33
2.47,83.92
2.58,79.76
2.69,85.8
2.8,84.53
2.9,75.44
3.01,82.8
3.12,89.39
3.23,89.32
3.33,94.55
3.44,88.58
3.55,90.16
3.66,89.55
3.76,85.0
3.87,94.49
3.98,95.19
4.09,96.37
4.19,94.72
4.3,95.48
4.41,100.0
4.52,95.49
4.62,95.75
4.73,86.98
4.84,86.65
4.95,90.21
5.05,92.61
5.16,94.99
5.27,87.45
5.38,94.17
5.48,89.35
5.59,94.09
5.7,92.65
5.81,95.4
5.91,94.42
6.02,89.4
6.13,88.34
6.24,90.01
6.34,92.19
6.45,87.6
6.56,95.17
6.67,87.81
6.77,88.56
6.88,84.99
6.99,85.19
7.1,86.68
7.2,85.49
7.31,84.72
7.42,80.96
7.53,79.27
7.63,78.07
7.74,74.47
7.85,78.69
7.96,70.41
8.06,71.84
8.17,78.8
8.28,64.68
8.39,65.75
8.49,66.82
8.6,65.33
8.71,60.85
8.82,58.37
8.92,52.14
9.03,55.42
9.14,50.93
9.25,46.5
9.35,46.72
9.46,48.83
9.57,45.13
9.68,43.75
9.78,42.44
9.89,35.19
10.0,35.63
