Agriculture and Food Production,the Comparison of Agriculture and Food Production,linear,negative
Farm size (hectares),Food production cost ($/ton)
1.0,1339.91
12.89,661.52
24.79,1165.3
36.68,1224.68
48.57,1257.42
60.46,597.16
72.36,613.16
84.25,914.06
96.14,414.62
108.04,779.81
119.93,1105.09
131.82,336.96
143.71,725.05
155.61,358.39
167.5,664.12
179.39,1028.64
191.29,744.54
203.18,1225.22
215.07,1364.54
226.96,1284.24
238.86,988.25
250.75,1025.45
262.64,1429.48
274.54,100.0
286.43,1318.19
298.32,883.06
310.21,696.9
322.11,676.24
334.0,1167.06
345.89,643.19
357.79,1065.32
369.68,970.48
381.57,755.23
393.46,414.27
405.36,877.93
417.25,555.78
429.14,397.49
441.04,666.54
452.93,1073.77
464.82,747.37
476.71,639.15
488.61,492.29
500.5,1006.53
512.39,975.49
524.29,758.66
536.18,843.62
548.07,783.6
559.96,479.93
571.86,547.18
583.75,961.41
595.64,876.98
607.54,1155.63
619.43,856.56
631.32,900.99
643.21,653.24
655.11,1025.21
667.0,351.11
678.89,1087.07
690.79,412.83
702.68,887.56
714.57,2000.0
726.46,661.85
738.36,745.18
750.25,460.57
762.14,697.79
774.04,849.67
785.93,694.94
797.82,419.45
809.71,439.21
821.61,518.81
833.5,507.46
845.39,868.09
857.29,504.93
869.18,1075.37
881.07,913.72
892.96,640.28
904.86,669.35
916.75,422.44
928.64,1068.75
940.54,485.34
952.43,502.91
964.32,758.18
976.21,327.69
988.11,634.48
1000.0,990.42
