Healthcare and Medicine,the Trend of Healthcare and Medicine,u_shape,negative
Blood pressure (mmHg),Treatment cost ($)
80.0,6401.89
82.04,4850.44
84.08,4923.53
86.12,3784.9
88.16,11083.96
90.2,18116.0
92.24,23578.61
94.29,20652.33
96.33,23022.11
98.37,31489.17
100.41,27247.42
102.45,33391.62
104.49,33372.11
106.53,36763.24
108.57,39612.42
110.61,39084.77
112.65,43279.83
114.69,42885.04
116.73,40887.53
118.78,47023.85
120.82,38876.81
122.86,47194.88
124.9,46820.64
126.94,50000.0
128.98,46812.56
131.02,45351.55
133.06,41564.29
135.1,41746.69
137.14,49209.6
139.18,44450.9
141.22,40771.14
143.27,46312.24
145.31,36684.82
147.35,42278.1
149.39,39181.16
151.43,35956.66
153.47,34266.39
155.51,33814.18
157.55,31317.32
159.59,26517.61
161.63,28939.78
163.67,20672.15
165.71,23099.39
167.76,16528.07
169.8,15330.08
171.84,18263.0
173.88,11255.33
175.92,5104.76
177.96,100.0
180.0,2379.64
