Technology and Innovation,the Interaction of Technology and Innovation,u_shape,positive
Patent count (count),Digital literacy (index)
1.0,100.0
18.53,96.23
36.05,90.24
53.58,72.56
71.11,84.18
88.63,63.01
106.16,71.36
123.68,56.57
141.21,46.44
158.74,59.03
176.26,34.08
193.79,43.52
211.32,36.29
228.84,38.46
246.37,27.35
263.89,34.37
281.42,22.24
298.95,11.56
316.47,17.16
334.0,0.51
351.53,10.0
369.05,14.86
386.58,10.55
404.11,19.67
421.63,6.87
439.16,7.65
456.68,4.46
474.21,2.32
491.74,21.08
509.26,14.27
526.79,6.13
544.32,9.05
561.84,22.68
579.37,9.1
596.89,0.0
614.42,6.22
631.95,16.83
649.47,15.67
667.0,28.6
684.53,12.9
702.05,7.6
719.58,32.2
737.11,23.29
754.63,30.11
772.16,26.98
789.68,42.68
807.21,40.43
824.74,47.38
842.26,51.57
859.79,55.26
877.32,51.42
894.84,71.16
912.37,56.15
929.89,72.18
947.42,80.92
964.95,86.22
982.47,97.13
1000.0,96.82
