Cultural Trends and Influences,Book Sales,copies
trend,volatile_rising,exponential_rising,stable_rising,stable_falling,periodic_stable,periodic_stable
Year,Aura Literary Press,Azure Ink Works,Crimson Quill Publishing,Scrolls of Meridian,Borealis Books,Zenith Imprints
1973,513846.81,511343.48,503896.18,502689.6,479534.73,463294.17
1974,516867.94,579480.69,506923.24,519063.85,610251.25,598254.65
1975,655770.18,565310.91,554906.21,485655.27,567911.61,548506.9
1976,626788.62,677642.32,573242.88,463039.55,433772.52,448553.76
1977,600200.01,745332.58,605316.95,432108.35,382684.57,383283.65
1978,690984.28,808133.04,609264.32,423792.77,520806.15,492191.57
1979,732288.23,895517.52,617283.09,386695.96,619224.68,607853.03
1980,771740.65,976289.58,669168.32,379904.11,585227.64,589965.02
1981,874246.48,1051152.93,708830.67,364531.49,424239.97,436367.93
1982,841095.72,1186708.6,704255.38,368812.22,385634.39,371550.3
1983,850525.75,1319325.12,745606.51,343739.92,519337.7,497768.06
1984,947762.0,1440658.9,772913.24,350129.15,609596.25,609413.2
1985,976642.63,1556522.72,785110.7,336100.93,587394.07,582114.19
1986,934474.04,1694773.95,804780.37,349995.36,418256.2,425201.05
1987,1023323.89,1893212.74,830794.89,290402.01,379390.11,353972.25
1988,1095912.94,2088638.06,869902.22,266771.39,494116.73,474058.74
1989,1157003.06,2312697.66,926161.75,280969.17,631591.75,609496.66
1990,1127263.18,2512546.84,909111.42,226413.67,593824.45,570684.06
1991,1177813.42,2788487.23,929597.62,210826.82,427477.69,431950.17
