Healthcare and Health,Healthcare Expenditure,$
trend,stable_falling,stable_rising,volatile_falling,stable_rising,exponential_falling,exponential_falling,periodic_stable
Year,Meridian Healthcare Group (Public),Aethelgard Medical Board,Zenith Medical Foundation,Lumina Health Authority,Azure Health Initiative,Borealis Wellness Council,Stellar Public Health
1990,952630914.69,995938649.8,981381279.96,1009826981.37,1031469481.19,1025113005.59,1013912858.07
1991,985679633.81,1060200577.94,1029688460.88,1053409420.27,884233673.08,902434890.2,1258384344.53
1992,948109996.48,1104240096.08,908979379.79,1067385241.18,859044603.78,861850821.54,1128924382.38
1993,908768608.37,1133385131.0,916246812.44,1103701843.58,736566363.64,736985997.75,860609576.13
1994,846990542.51,1174252192.3,776069280.55,1184761802.49,647340092.5,649590246.56,751035621.35
1995,880249248.35,1209580315.04,741799783.39,1253958665.58,550540870.77,599625107.44,1002106803.73
1996,843748194.62,1277351427.12,554025524.73,1277861065.02,512797384.52,574180638.3,1264780358.9
1997,807538101.0,1293997819.16,543608695.15,1371612265.86,504723716.54,477802107.59,1148244081.07
1998,794095449.99,1365980918.36,449865047.99,1443213901.69,476680382.18,417987395.13,854950897.91
1999,753758494.08,1445387535.11,358472583.49,1448437483.12,407186134.68,370014466.83,804007024.32
2000,674558039.11,1465214980.1,396329775.19,1519501331.37,366155897.55,355033179.78,1008491510.46
2001,653128448.08,1576300050.22,324201518.26,1574308558.97,290182627.18,279135887.74,1240962833.17
2002,634345377.83,1643088580.2,162391907.93,1562613848.93,324134761.35,239737283.59,1132591954.61
2003,619366403.22,1642633044.17,109860738.9,1714944959.45,227881086.61,253388202.54,802136554.98
2004,539046729.38,1683825339.7,363465176.05,1708268780.43,262359972.69,151596869.76,750155002.99
2005,512660991.17,1737020754.76,156704952.37,1764402274.06,151994491.6,162882512.94,1030679548.62
2006,471964852.54,1816074977.51,20222444.42,1822724679.68,179576874.23,188969862.38,1276377896.97
2007,461595801.12,1844797847.24,10000000.0,1837018223.23,134043269.88,208714698.81,1163133651.15
2008,449389501.79,1917431606.37,10000000.0,1899474829.59,153300552.05,183324077.82,852191721.68
