Human Resources and Employee Management,Employee Satisfaction,%
trend,exponential_rising,periodic_stable,exponential_falling,stable_falling,volatile_falling,volatile_rising,stable_rising
Year,Operations Staff,Management Team,Sales Team,Engineering Department,Human Resources,Research & Development,Administrative Support
1976,70.6,71.19,68.85,69.62,72.36,71.44,70.14
1977,75.65,85.74,63.49,68.73,66.65,72.38,74.2
1978,84.8,78.79,56.97,65.33,63.37,79.51,77.87
1979,90.96,61.46,52.16,65.26,58.34,82.0,80.21
1980,100,54.94,45.24,61.3,51.59,95.39,83.15
1981,100,71.47,41.41,60.11,46.37,98.14,87.07
1982,100,87.19,37.36,56.65,43.76,100,91.62
1983,100,82.93,34.35,54.76,45.96,100,94.99
1984,100,61.55,31.17,53.5,32.56,100,98.34
1985,100,52.59,25.87,49.83,33.26,100,100
1986,100,69.33,25.5,50.01,27.33,100,100
1987,100,85.71,21.69,47.4,20.26,100,100
1988,100,78.92,20.97,44.59,19.43,100,100
1989,100,60.61,18.75,42.19,13.53,100,100
1990,100,52.02,15.34,41.09,12.03,100,100
1991,100,69.84,12.72,37.96,8.99,100,100
1992,100,86.5,13.3,37.84,2.85,100,100
1993,100,80.29,9.78,34.89,0.7,100,100
1994,100,60.1,8.68,32.12,0.7,100,100
1995,100,50.56,9.53,30.72,0.7,100,100
1996,100,71.44,8.4,29.64,0.7,100,100
1997,100,86.27,8.99,25.63,0.7,100,100
1998,100,79.75,7.4,23.28,0.7,100,100
