Agriculture and Food Production,Food Waste,tons
trend,periodic_stable,exponential_rising,stable_rising
Year,FarmGate Transit,Verdant Distribution,AgriFlow Solutions
1971,10073.69,9923.53,10216.32
1972,12346.46,11202.42,10421.74
1973,11469.13,12160.28,11123.71
1974,8327.81,13328.87,11814.84
1975,7584.64,14814.84,11835.82
1976,10080.15,16239.32,12635.56
1977,12205.49,17572.49,13096.41
1978,11702.69,19620.59,13603.98
1979,8426.65,21378.59,14086.16
1980,7576.53,23393.79,14568.08
1981,9904.27,25983.76,14830.74
1982,12523.52,28735.93,15444.54
1983,11396.27,31387.41,16033.26
1984,8679.89,34358.71,16439.93
1985,7536.89,37904.66,16786.16
1986,9936.13,41804.36,17434.34
1987,12445.38,45901.55,17948.61
1988,11316.6,50500.64,18431.09
1989,8514.65,55483.57,19020.2
1990,7392.14,61028.58,19323.31
1991,10086.95,67567.74,19736.69
1992,12594.39,73835.22,20467.83
1993,11398.41,81308.75,21134.68
