Retail and E-commerce,Online Sales Volume,$
trend,volatile_falling,stable_falling
Year,Urban Shoppers,Rural Buyers
1969,3886168.58,4496824.82
1970,4124654.79,5457174.46
1971,4719726.17,5179105.95
1972,3444470.48,4122684.66
1973,4025254.59,4675219.12
1974,3848853.64,3525791.45
1975,2914583.07,4977109.57
1976,2226478.55,3794205.89
1977,3887336.07,3642287.26
1978,3149530.89,3697352.63
1979,2016082.85,3589520.67
1980,1574630.43,3131590.27
1981,1419723.62,3359148.32
1982,1094392.04,2694086.07
1983,938204.0,3299666.81
1984,833236.96,2929122.53
1985,1106933.66,2349489.83
1986,50000.0,2326209.55
1987,50000.0,2905229.56
1988,50000.0,2906018.14
1989,50000.0,1908632.67
1990,50000.0,1937932.31
