Sports and Entertainment,Streaming Views,views/month
trend,volatile_falling,periodic_stable
Year,EchoWave Entertainment,StarburstTV
1960,201505.6,197682.45
1961,214137.62,242948.76
1962,158269.47,243942.12
1963,147891.45,173119.98
1964,167821.01,138918.92
1965,161066.66,180356.62
1966,136884.94,235879.9
1967,80596.82,232562.74
1968,88097.18,165055.0
1969,114016.41,147660.92
1970,74256.21,193891.68
1971,81332.3,261261.56
1972,7072.87,223334.19
1973,17639.0,156255.08
1974,53596.14,146171.48
1975,2000.0,205684.67
1976,16770.84,255667.5
1977,2000.0,221292.99
1978,2000.0,162224.67
1979,2000.0,160366.94
1980,2000.0,183594.16
1981,2000.0,269097.8
1982,2000.0,239104.39
1983,2000.0,174721.18
1984,2000.0,158640.56
