Sports and Entertainment,Stadium Attendance,tickets/session
trend,stable_falling,stable_rising
Year,Crimson Clash,Echo Bowl
1972,51074.15,50324.97
1973,50052.07,53285.99
1974,46269.51,55459.63
1975,45648.14,56584.51
1976,44677.58,60438.42
1977,42546.36,59582.05
1978,41370.55,63910.07
1979,41053.03,68159.09
1980,39108.94,73064.17
1981,37292.39,71503.34
1982,32831.39,76787.5
1983,36744.53,75990.09
1984,33972.83,81698.25
1985,32207.33,83856.8
1986,28482.9,82616.87
1987,31388.3,88665.44
1988,27188.73,90056.08
1989,22175.32,93863.0
1990,22417.74,94142.55
1991,22059.39,98821.03
1992,23050.25,98247.55
1993,19911.28,102309.88
1994,17245.03,105988.43
1995,15759.24,107708.73
1996,12746.72,109340.93
