Sports and Entertainment,Merchandise Sales,$
trend,exponential_falling,periodic_stable,periodic_stable,volatile_falling,volatile_falling,periodic_stable,stable_rising
Year,Horizon Wear,Titan Gear,Starlight Merchandise,Apex Athletics,Aura Apparel,Emerald Sports Co.,Sapphire Entertainment
1953,1089386.97,1045705.52,981820.42,1108315.56,986547.13,952811.15,974176.3
1954,856712.75,1246276.33,1204806.97,836995.63,1091498.7,1223975.83,1104733.25
1955,785138.32,1083802.95,1071636.69,747091.29,708351.29,1165092.92,1138457.01
1956,681134.96,851844.05,783962.73,915959.56,821523.86,846403.36,1114265.4
1957,702645.37,809296.94,721669.17,748414.69,891996.02,751994.71,1250528.87
1958,610795.27,982090.51,965567.64,776905.88,702735.13,984920.88,1217874.81
1959,527550.0,1233696.55,1206293.95,565020.98,719714.19,1153524.95,1303759.62
1960,492004.62,1159744.44,1091687.73,625490.75,612186.16,1083679.4,1393749.49
1961,409513.24,924383.59,872421.58,620786.21,517395.55,842089.41,1425255.36
1962,379037.99,813886.29,784319.64,458253.39,552090.1,769677.83,1408812.75
1963,333749.7,971740.87,1008791.64,353204.61,396652.88,1015220.59,1461251.37
1964,319207.18,1227157.33,1240032.41,275840.62,370263.86,1167915.13,1574714.1
1965,251444.78,1069765.22,1069902.41,161703.2,140248.76,1123182.96,1545162.64
1966,283027.93,841019.97,899718.0,167090.36,137455.5,880488.55,1639529.34
1967,240483.49,736098.0,777649.21,76851.61,158543.08,780833.32,1745315.74
1968,178369.74,1061285.23,1057023.19,155265.29,347207.06,895356.16,1718423.64
