Tourism and Hospitality,Restaurant Reservations,reservations/week
trend,stable_rising,volatile_falling,periodic_stable
Year,Fusion Kitchens,Casual Eateries,Street Food Hubs
1951,964.24,1237.3,995.03
1952,1029.82,1334.07,1009.6
1953,1159.13,836.89,1123.4
1954,1152.36,791.65,817.05
1955,1102.72,1045.68,807.71
1956,1109.39,633.6,960.6
1957,1366.35,561.11,1340.37
1958,1399.85,507.62,1078.53
1959,1251.06,646.7,864.52
1960,1287.57,393.98,793.66
1961,1398.71,608.92,894.1
1962,1693.98,465.92,1302.76
1963,1632.19,226.2,1149.46
1964,1579.54,221.0,753.95
1965,1695.84,186.79,761.8
1966,1781.83,252.15,1029.07
1967,1827.64,147.22,1204.66
1968,1837.73,10.0,1058.5
1969,1823.17,48.0,831.97
1970,2002.11,86.7,686.55
1971,2040.27,10.0,1010.94
1972,2236.28,10.0,1143.8
1973,2082.95,10.0,1105.98
1974,2180.58,10.0,885.53
1975,2077.94,10.0,724.17
1976,2218.46,10.0,1083.04
1977,2383.55,10.0,1216.7
