Business and Finance,Net Profit Margin,%
trend,stable_rising,volatile_rising,volatile_falling,periodic_stable,periodic_stable,volatile_rising
Year,Ironclad Ventures,Starlight Innovations,Vanguard Dynamics,Horizon Enterprises,Apex Systems,NovaTech Solutions
1972,14.87,14.69,14.05,15.1,15.13,16.24
1973,15.5,16.28,14.32,18.58,18.14,16.23
1974,16.88,17.24,13.33,16.9,17.28,16.96
1975,16.62,17.96,11.22,12.86,12.95,17.79
1976,18.0,20.18,10.92,11.3,11.64,20.11
1977,18.87,20.52,10.16,15.39,14.98,21.7
1978,19.65,22.52,9.8,18.6,18.34,23.2
1979,20.05,23.41,8.79,17.11,17.34,22.74
1980,21.37,25.13,7.62,13.18,12.77,23.78
1981,22.05,25.79,7.72,11.34,11.7,25.37
1982,22.38,26.83,6.49,15.36,14.88,26.74
