Science and Engineering, Comparison of data on R&D investment in different fields among cities, billion USD, vertical
City,Biotech,Energy,Quantum,AI,Nanotech,Materials,Photonics
Ashford,35,68,39,10,74,10,32
Brookfield,28,43,40,39,40,42,40
Creston,79,21,47,25,44,34,16
Elmhurst,84,85,81,69,26,67,47
Fairmont,65,72,10,72,82,87,10
Highvale,55,10,61,23,63,75,61
Ironwood,89,78,16,93,77,18,73
Northgate,10,31,30,25,43,90,59
Oakridge,63,37,72,35,52,16,95
Pinehaven,93,41,79,69,10,10,19
Rosewood,57,45,44,53,42,55,12
Springfield,29,53,75,95,33,71,45
Westport,87,38,33,64,62,10,17
Yorkton,44,85,84,17,10,10,10
Zephyr,50,84,38,95,14,31,10
