Human Resources and Employee Management, Data on the number of people working in different industries in towns, number, vertical
Town,Telecom,Retail,Energy
Oakvale,2729,2714,2066
Riverton,2960,2302,1809
Pinecrest,2542,3594,2652
Cedarburg,1120,2797,4360
Elmwood,3557,3201,3303
Hillcrest,3110,3629,3911
Brookhaven,3551,3276,2640
Clearview,907,2494,2639
Springvale,2595,2795,2863
Westwood,3648,3074,1281
Eastwood,3733,1576,2457
Redstone,2840,2894,2867
Glenwood,3154,3120,2076
Meadowbrook,2683,1422,4289
