Business and Finance,Customer Acquisition Cost,$
trend,exponential_rising,periodic_stable,exponential_rising,volatile_falling,periodic_stable
Year,Aegis Corp,Vanguard Dynamics,Ironclad Ventures,NovaTech Solutions,Apex Systems
1965,83.12,102.01,85.13,109.72,97.99
1966,121.64,122.73,109.1,90.18,120.83
1967,118.11,114.4,128.16,87.56,110.92
1968,138.37,75.51,138.79,100.42,86.03
1969,154.02,74.26,138.84,81.04,76.9
1970,152.14,95.4,162.08,62.52,100.74
1971,180.38,114.15,196.6,54.29,116.48
1972,200.3,119.53,210.7,67.45,126.33
1973,226.24,82.96,222.87,97.48,90.36
1974,236.29,77.76,225.44,53.59,85.99
1975,257.57,100.67,246.84,25.45,97.16
1976,298.72,122.99,279.78,28.55,130.45
1977,301.71,111.25,308.0,45.77,121.02
1978,340.21,88.41,341.25,38.53,83.33
1979,389.22,75.49,379.95,4.94,71.69
1980,404.58,101.06,415.77,1.0,99.87
1981,467.83,129.27,466.08,12.47,120.25
1982,497.01,114.78,505.08,4.6,112.1
1983,557.36,82.11,545.41,1.0,84.53
1984,599.35,68.99,594.36,1.0,69.01
1985,673.02,99.2,688.26,1.0,112.23
1986,733.95,122.48,741.27,1.0,118.46
1987,814.76,122.74,804.47,1.0,114.99
