Cultural Trends and Influences,Music Festival Attendance,attendees
trend,random_on_off_rising,exponential_rising,exponential_rising,random_on_off_stable
Year,Zenith Rhythm Fest,Meridian Music Gathering,Azure Sky Symphony,Starlight Soundwave
2004,105098.92,107619.47,77972.44,93123.39
2005,138521.54,89499.58,115812.94,92504.61
2006,93343.75,126962.27,140343.02,100000.0
2007,64665.96,105895.34,149356.44,1000.0
2008,7048.64,145584.98,125810.81,100000.0
2009,11733.15,153667.1,158854.61,100000.0
2010,85090.51,181305.42,187898.52,100000.0
2011,119769.49,178788.55,189162.0,100000.0
2012,48596.6,217432.45,193850.78,77210.8
2013,1000.0,234258.06,226208.68,100000.0
2014,1000.0,271740.78,266160.45,100000.0
2015,56403.96,304233.76,285515.48,100000.0
2016,132951.76,325283.71,348708.46,100000.0
2017,170043.65,323248.58,334853.88,100000.0
