Education and Academics,Library Visits,visits/year
trend,exponential_rising,stable_rising,random_on_off_rising
Year,Aethelgard Art Library,Zenith Tech Library,Silverhaven Digital Repository
1976,111268.85,104039.29,98667.13
1977,120103.42,94703.41,94462.9
1978,124233.41,119283.89,105427.2
1979,128061.94,114793.79,107966.96
1980,144755.17,102658.99,66936.74
1981,154339.28,124448.8,1000.0
1982,189489.4,121852.96,39563.77
1983,199157.14,128298.36,136832.07
1984,221226.35,145844.3,108975.01
1985,232379.06,134375.85,139552.84
1986,264705.87,142126.93,132910.3
1987,279892.15,157080.87,121649.69
1988,315634.14,156462.8,15786.28
1989,345289.89,158481.56,1000.0
1990,377996.07,169377.61,1000.0
