Education and Academics,Library Visits,visits/year
trend,random_on_off_stable,exponential_rising,stable_rising,random_on_off_stable,stable_rising,volatile_rising,volatile_falling
Year,Celestial College Archives,Meridian Academy Collection,Arcane University Library,Silverhaven Digital Repository,Borealis Research Hub,Aethelgard Art Library,Zenith Tech Library
1951,108875.47,107648.93,99129.01,109780.15,96288.78,114004.9,112442.74
1952,103700.12,102121.31,110756.71,89994.6,98609.25,114850.42,79426.87
1953,106188.95,132831.1,106548.93,100000,102254.59,127963.25,103409.58
1954,100000,149958.55,109126.02,9824.59,120420.79,120565.33,92115.63
1955,16813.41,143319.18,118953.96,100000,124276.28,120883.86,67295.12
1956,100000,158257.62,121601.79,100000,134230.56,143922.21,80347.86
1957,100000,178474.16,132238.26,111418.87,123511.33,157898.89,71542.37
1958,105083.76,199138.87,148620.63,105477.92,147860.4,156505.66,66439.01
1959,100923.24,217122.38,142535.45,107671.65,138293.28,162960.25,48450.07
1960,102105.19,243446.7,143270.04,100000,137380.66,162922.48,40861.99
1961,101410.61,248084.97,153743.96,70033.55,143372.61,178180.84,30465.82
1962,100000,297036.9,147108.53,100000,159302.33,172097.57,31471.65
1963,63121.1,320475.14,162981.46,100000,161353.31,210369.25,23508.56
1964,100000,338694.12,161298.68,106593.09,166816.81,215388.46,10336.31
