Agriculture and Food Production,Fertilizer Price,$/ton
trend,random_on_off_stable,random_on_off_stable,stable_falling,volatile_rising,periodic_stable,random_on_off_stable,stable_rising
Year,Zephyr Cotton,Terran Spice Mix,AquaBeans,Solara Sugarbeet,GeoNuts,Lumina Grain,Skyberry Pulp
1987,296.47,317.83,300.3,328.18,320.1,294.59,307.15
1988,300,300,297.87,275.21,376.99,293.96,323.81
1989,250.51,75.23,304.81,342.13,324.85,300,375.27
1990,300,300,341.5,467.99,257.07,254.69,308.64
1991,300,300,332.98,388.44,241.12,300,387.74
1992,300,300,358.65,460.79,302.33,300,325.73
1993,300,3.0,363.64,449.64,382.95,300,436.58
1994,260.49,300,374.54,521.49,350.51,300,361.26
1995,300,300,393.47,479.34,245.45,36.71,437.35
1996,300,300,397.76,499.86,233.45,300,415.8
1997,300,300,419.13,457.47,314.96,300,403.75
1998,300,95.65,432.38,540.11,369.33,284.43,466.37
1999,281.64,300,435.13,570.42,338.49,262.84,502.11
2000,300,300,401.32,581.94,252.26,345.71,510.35
2001,300,300,441.63,542.29,203.96,326.37,497.27
2002,300,300,471.48,633.66,305.88,282.59,533.06
2003,300,56.93,443.57,608.09,377.05,310.86,546.23
2004,300,300,461.46,681.57,307.93,300,584.59
2005,300,300,529.52,703.7,255.19,272.19,497.81
2006,170.4,300,521.53,708.98,236.16,300,602.25
2007,300,239.49,504.08,795.05,293.47,300,605.03
