Education and Academics,Alumni Giving Rate,%
trend,exponential_falling,random_on_off_rising,exponential_rising,exponential_falling,volatile_rising
Year,Meridian Academy Patrons,Aethelgard Arts Circle,Celestial College Graduates,Borealis Alumni Network,Arcane University Alumni Association
1994,10.11,9.61,9.83,10.57,9.58
1995,9.19,11.08,10.84,8.77,11.04
1996,7.61,11.53,12.16,8.18,13.17
1997,7.43,10.31,13.39,7.19,12.71
1998,6.79,11.84,13.19,6.08,13.86
1999,5.43,6.92,16.94,6.02,12.49
2000,4.48,0.1,17.54,5.62,15.33
2001,4.19,0.1,20.18,4.17,15.56
2002,4.0,7.56,21.94,4.74,15.01
2003,3.09,12.8,23.03,4.33,19.35
2004,2.74,15.37,26.21,2.94,17.38
2005,4.37,14.53,28.74,2.97,18.42
2006,1.87,3.94,29.35,2.25,21.21
2007,3.38,5.03,34.13,2.57,20.44
2008,1.96,16.36,38.81,2.31,20.8
2009,2.54,16.49,41.77,1.42,20.96
2010,1.59,15.5,45.63,2.26,23.92
2011,1.3,17.24,50.41,2.31,24.55
2012,1.43,12.33,56.47,1.27,23.48
2013,1.17,0.19,62.37,0.57,25.87
2014,0.7,0.11,67.71,0.36,25.3
2015,1.29,12.51,74.0,1.01,25.56
2016,0.44,19.21,81.74,0.45,27.77
