Energy and Utilities,Water Consumption,cubic meters
trend,stable_rising,volatile_rising,stable_rising,stable_rising,random_on_off_rising,stable_rising,stable_falling
Year,AquaFlow Utilities,Silverhaven Water Board,Zenith Public Works,Aethelgard Aqueduct System,Meridian Water Authority,Borealis Water Cooperative,Azure Reservoir Management
1979,28285085.43,26355111.91,31181668.35,30120381.02,29759840.2,30199484.48,29329092.32
1980,29551740.61,31645471.98,31118916.38,31723911.43,31042487.34,32412385.12,28078286.43
1981,31339909.74,35709265.29,34059600.73,34247143.35,33193618.14,33514128.61,29968351.3
1982,36266670.79,36248661.55,35616418.07,35917536.8,33539670.42,34053035.97,31907145.88
1983,36534231.01,38589211.26,36870328.78,36361955.66,21012690.85,38197287.8,34337341.39
1984,38358843.1,43901603.44,36162012.19,37102275.94,300000.0,37922457.33,34121605.23
1985,38819613.1,42549163.06,39106426.89,38402146.04,300000.0,40682309.51,36721107.38
1986,39736865.76,41952049.32,38978893.19,39596510.35,21511423.54,40636974.36,35825045.72
1987,42600687.79,45479754.43,41410944.32,41395900.76,41300184.45,39626065.97,36765800.92
1988,42014319.16,53911062.39,43421614.88,42461367.43,40895478.53,42474960.46,37483733.05
1989,44992497.58,52447489.67,45486807.36,46355340.94,7589646.22,46151545.8,39637222.67
1990,46850109.71,53481718.87,47463141.69,46636205.41,14701943.71,45018730.81,40072994.52
1991,46660223.53,58117282.07,49716966.49,49530248.06,43914641.44,46397664.6,41825182.07
1992,48099799.07,62997352.45,49549698.77,49472268.45,43559503.79,51205693.34,41545498.03
