Energy and Utilities,Natural Gas Prices,$/cubic meter
trend,periodic_stable,random_on_off_stable,random_on_off_stable,exponential_falling,random_on_off_stable
Year,SkyFlow Water Index,Lumina Energy Market,Zephyr Gas Index,AquaSource Trading,Solara Power Futures
1999,1.97,2.06,1.87,1.91,1.91
2000,2.55,2.13,2.07,1.8,1.99
2001,2.18,2,2,1.63,2
2002,1.66,1.38,1.07,1.62,0.79
2003,1.59,2,2,1.22,2
2004,1.91,2,2,0.97,2
2005,2.45,2,2,0.96,1.79
2006,2.3,2,2.1,0.79,2
2007,1.69,0.82,2.1,0.76,2
2008,1.51,2,2,0.74,2
2009,1.92,2,0.38,0.39,2
2010,2.46,2,2,0.65,2
2011,2.19,1.9,2,0.43,1.6
2012,1.8,2,2,0.48,2
2013,1.61,1.36,1.91,0.67,2
2014,2.06,2,2,0.45,1.91
2015,2.53,2,2,0.37,2
2016,2.37,2,2,0.46,2
2017,1.72,2,2,0.02,2
