Healthcare and Health,Patient Satisfaction,%
trend,volatile_rising,random_on_off_rising,periodic_stable,exponential_falling,volatile_rising,random_on_off_rising
Year,Chronic Condition Patients,Outpatient Visitors,Pediatric Patients,Emergency Room Patients,Acute Care Patients,Senior Care Group
1990,87.49,88.78,91.85,91.2,95.9,89.52
1991,100,89.22,100,77.77,100,95.85
1992,100,92.33,100,71.82,100,100
1993,100,99.78,77.39,62.05,100,31.77
1994,100,72.38,67.68,62.54,100,0.9
1995,100,0.9,90.97,40.07,100,75.82
1996,100,0.9,100,49.83,100,100
1997,100,35.62,100,43.19,100,100
1998,100,100,74.06,40.38,100,100
1999,100,100,72.55,31.49,100,42.79
2000,100,51.79,91.91,30.22,100,0.9
2001,100,0.9,100,33.17,100,22.94
2002,100,0.9,100,25.85,100,100
2003,100,0.9,77.93,23.57,100,100
2004,100,33.73,69.04,22.57,100,100
2005,100,100,89.7,20.46,100,57.0
2006,100,100,100,13.55,100,0.9
2007,100,62.23,100,11.62,100,97.76
2008,100,0.9,77.03,15.66,100,100
2009,100,0.9,70.46,11.43,100,100
2010,100,59.72,89.33,9.06,100,100
2011,100,100,100,7.76,100,26.43
2012,100,100,100,8.49,100,17.78
2013,100,77.77,76.8,11.3,100,100
2014,100,0.9,68.59,14.8,100,100
2015,100,0.9,91.37,4.56,100,100
2016,100,62.34,100,5.43,100,2.33
