Human Resources and Employee Management,Employee Count,employees
trend,volatile_falling,periodic_stable,exponential_falling
Year,Meridian Dynamics,AstraCorp,Zenith Enterprises
1981,506.42,493.36,492.11
1982,475.36,615.02,438.44
1983,413.96,556.77,397.51
1984,401.18,416.96,355.95
1985,368.56,373.69,334.93
1986,361.05,493.16,300.44
1987,259.07,636.42,269.42
1988,286.68,559.18,234.92
1989,241.78,420.33,237.37
1990,242.06,383.49,185.79
1991,223.02,506.33,164.0
1992,130.37,611.49,121.89
1993,145.93,584.59,135.81
1994,65.97,428.87,128.72
1995,91.09,400.0,138.73
1996,37.45,492.15,103.14
1997,5.0,614.14,66.0
1998,5.0,589.52,82.2
1999,5.0,431.8,74.61
2000,5.0,399.78,77.18
2001,5.0,505.19,94.79
