Human Resources and Employee Management,Employee Satisfaction,%
trend,volatile_rising,random_on_off_rising,stable_falling,periodic_stable,stable_falling,stable_falling,random_on_off_stable
Year,Human Resources,Research & Development,Engineering Department,Management Team,Administrative Support,Sales Team,Operations Staff
1962,68.41,67.54,70.61,68.61,70.8,70.13,70
1963,70.57,75.32,72.11,87.07,76.83,76.38,56.15
1964,83.13,73.53,73.3,78.79,66.38,78.56,70
1965,78.63,73.41,71.85,58.12,71.14,78.42,70
1966,96.24,25.52,82.05,55.01,81.94,83.24,59.87
1967,97.16,0.7,82.75,68.36,81.16,83.6,70
1968,100,52.28,79.34,87.37,85.07,85.59,70
1969,100,91.11,89.95,82.09,86.04,89.04,70
1970,100,95.69,88.83,59.51,88.9,87.71,70
1971,100,98.48,89.7,51.41,84.62,84.0,31.21
