Human Resources and Employee Management,Training Hours,hours/employee
trend,random_on_off_stable,periodic_stable
Year,Engineering Department,Research & Development
1984,20.05,20.17
1985,20,25.12
1986,0.54,23.28
1987,20,15.62
1988,20,13.25
1989,20,18.64
1990,10.59,24.65
1991,20,23.83
1992,20,17.84
1993,20,15.69
1994,20,20.8
1995,20.51,24.96
1996,18.72,23.13
1997,19.5,17.06
1998,20,14.76
1999,13.04,19.56
2000,20,23.95
2001,20,22.02
2002,20,17.56
2003,20,14.24
2004,18.95,19.36
2005,20.64,24.36
2006,20.02,23.13
2007,19.69,16.05
2008,20,14.72
2009,10.49,20.31
2010,20,24.74
