Retail and E-commerce,Delivery Time,days
trend,exponential_falling,stable_falling,exponential_falling
Year,Rural Logistics,Autonomous Vehicles,International Freight
1975,2.51,2.51,2.5
1976,2.22,1.97,2.24
1977,1.82,2.55,2.31
1978,1.48,2.75,1.94
1979,2.05,2.92,1.47
1980,1.61,2.61,1.87
1981,1.14,3.11,1.44
1982,1.47,3.24,0.63
1983,1.11,2.69,1.15
1984,1.16,3.05,1.01
1985,1.74,2.85,0.99
1986,0.91,3.03,0.64
1987,1.0,3.57,0.7
1988,0.77,4.31,1.23
1989,0.71,3.38,0.48
1990,0.82,3.66,0.35
1991,0.12,3.96,0.25
1992,0.55,4.08,0.6
1993,0.47,3.72,0.19
