Retail and E-commerce,Loyalty Program Growth,users
trend,exponential_rising,stable_falling,exponential_falling,periodic_stable,stable_rising
Year,Elite Members,Family Plans,Gift Card Users,Student Discounts,SuperSaver Club
1965,529986.77,383734.34,511744.57,536266.84,574334.32
1966,673712.07,448244.14,446893.68,676047.77,423738.01
1967,681750.55,556078.7,351688.24,616871.51,438681.56
1968,676260.61,530002.76,443496.92,425082.51,459986.44
1969,655403.51,407642.0,424504.82,446409.14,680707.57
1970,989734.36,629006.03,228182.68,513036.6,602061.45
1971,717913.86,676669.3,147095.3,703648.64,649887.06
1972,919278.35,518631.21,265619.95,657293.23,717520.18
1973,1107185.09,644947.7,276554.59,427894.54,822968.28
1974,1286878.2,799996.69,91138.19,300596.94,719809.58
1975,1344996.15,713032.6,68522.06,515435.81,761353.32
1976,1574998.62,763824.98,198673.06,559757.97,878876.21
1977,1483409.37,651378.51,287164.8,620934.88,662953.51
1978,1909502.64,791983.61,5000.0,366548.12,851455.09
1979,1839687.5,673108.04,28540.83,382338.49,901542.16
1980,1883066.93,761608.39,141740.11,495968.39,939028.08
1981,2296652.8,791926.14,181050.38,589250.3,748383.39
1982,2470344.23,761229.43,283752.21,522383.3,897450.86
1983,2848231.2,656818.45,55632.75,465174.42,768170.41
1984,2966978.83,807800.24,17331.66,482301.66,964917.56
1985,3359516.65,907533.83,54875.22,459103.6,951111.29
1986,3784595.92,779429.77,160231.7,629439.78,1057000.36
1987,3992489.76,811628.35,126826.63,620966.57,967136.12
1988,4460692.92,800293.3,27809.12,492985.55,1155105.88
1989,4700554.52,940830.67,5000.0,349985.36,1246273.42
1990,5503995.82,1064482.84,101806.36,514457.28,1056686.47
1991,6122032.23,752418.78,5000.0,703658.05,1120397.99
1992,6592475.1,865634.16,100579.42,516430.53,1161524.79
