Business and Finance,Net Profit Margin,%
trend,random_on_off_stable,volatile_falling,volatile_rising,stable_rising,volatile_falling
Year,Ironclad Ventures,Vanguard Dynamics,Apex Systems,NovaTech Solutions,Starlight Innovations
1967,14.92,13.77,16.07,13.34,13.39
1968,15,13.32,15.9,15.08,14.98
1969,6.43,14.4,16.14,17.92,12.08
1970,15,10.99,18.11,17.56,14.78
1971,15,12.52,18.59,17.43,10.45
1972,15,9.91,22.96,18.2,10.84
1973,15,10.25,21.06,19.38,12.34
1974,15,8.66,24.3,19.24,9.65
1975,5.42,6.18,25.74,20.34,9.48
1976,15,5.61,26.42,22.08,8.33
1977,15,6.82,28.3,22.6,6.88
1978,15,3.5,28.2,23.38,5.47
1979,15,5.23,29.66,24.45,6.71
1980,15,1.81,28.17,24.23,1.87
1981,13.88,2.53,30.52,26.05,3.06
1982,15,0.15,33.76,26.65,2.32
1983,15,2.37,31.41,26.63,1.39
1984,15,0.15,34.15,28.13,0.15
1985,7.07,0.15,37.1,28.46,0.15
1986,15,0.15,36.82,29.81,0.15
1987,15,0.15,40.68,30.6,0.15
1988,15,0.15,39.63,30.24,0.15
1989,2.73,0.15,42.7,30.02,0.15
