Retail and E-commerce,Loyalty Program Growth,users
trend,exponential_falling,volatile_falling,stable_falling,random_on_off_rising,exponential_falling,exponential_falling
Year,Elite Members,Student Discounts,Gift Card Users,Corporate Partnerships,Family Plans,Flash Sale Subscribers
1985,491534.81,494038.44,494153.55,397458.75,527514.96,359414.77
1986,514369.29,657064.35,438573.18,522549.37,387076.36,615147.22
1987,244688.15,334710.03,528887.28,592466.96,467613.04,271418.99
1988,256858.58,410000.97,624609.72,515760.9,168910.35,447760.73
1989,328620.67,177221.41,573556.2,308265.75,284658.38,349484.64
1990,304073.03,297260.99,719467.3,5000.0,405075.25,492029.87
1991,304815.05,196160.22,558166.82,167822.15,212963.16,537046.06
1992,326986.05,200484.16,545324.81,363523.48,311194.34,236191.41
1993,149863.03,49925.47,516823.51,519483.24,310702.92,72354.3
1994,316546.47,67097.99,593409.49,323312.47,14887.94,323731.92
1995,239375.53,463567.05,679699.85,5000.0,184311.52,227888.32
1996,25914.29,380407.83,674915.02,5000.0,5000.0,106373.13
1997,20060.37,131118.28,556542.55,608581.55,155517.9,22944.33
1998,330112.75,5000.0,786920.41,667333.81,16613.35,66645.81
1999,67519.86,5000.0,808818.72,618569.66,36198.29,137561.17
2000,158064.1,470189.37,856921.23,699376.82,205982.82,5000.0
2001,159593.29,5000.0,854878.18,769676.15,93720.81,307095.71
2002,32455.33,222271.65,809236.48,397945.49,197920.33,19658.44
2003,142249.98,122643.17,763455.18,111976.01,5000.0,289937.4
2004,187861.26,5000.0,733006.91,457983.39,75011.35,190961.44
2005,236510.87,5000.0,750755.21,938852.3,150633.85,5000.0
2006,5000.0,5000.0,1007993.25,1052179.9,5000.0,121061.46
2007,5000.0,5000.0,846431.52,804816.68,131843.43,5000.0
2008,9430.66,5000.0,758966.47,5000.0,42823.49,127894.91
2009,5000.0,5000.0,801786.5,563315.51,26136.8,26273.55
2010,155366.81,5000.0,928494.75,1013279.97,5000.0,83449.19
