Science and Engineering,Publication Count,papers
trend,volatile_rising,volatile_rising,stable_falling
Year,Aether University,Nova Institute,Crimson Foundation
1962,114.72,62.26,90.23
1963,97.03,98.11,94.33
1964,124.26,111.42,97.61
1965,106.13,117.56,112.1
1966,130.87,145.11,108.58
1967,167.85,159.1,131.45
1968,146.92,143.39,116.06
1969,158.16,176.07,122.62
1970,170.55,157.82,115.9
1971,186.44,192.87,118.32
1972,166.03,183.78,131.87
1973,181.78,183.94,122.89
1974,197.28,190.44,142.3
1975,228.17,174.21,133.99
1976,217.22,227.8,148.21
1977,227.89,223.77,128.8
1978,215.61,225.18,161.05
1979,210.13,232.87,155.37
1980,236.13,249.2,156.44
1981,233.93,261.73,160.15
1982,246.02,265.58,170.87
1983,265.12,236.73,163.73
1984,293.52,288.2,163.66
1985,270.58,306.18,160.71
1986,287.1,308.27,166.07
1987,300.1,296.28,191.8
1988,315.16,323.77,185.22
