Science and Engineering,Engineering Graduates,students
trend,exponential_falling,exponential_rising
Year,Echo Research,Luminara Academy
1993,972.56,1085.78
1994,787.76,1078.32
1995,862.95,1195.98
1996,718.98,1427.77
1997,515.57,1376.75
1998,659.49,1539.41
1999,556.73,1757.52
2000,523.14,1837.0
2001,373.5,2073.2
2002,435.72,2348.79
2003,224.1,2539.03
2004,442.57,2834.55
2005,341.05,3131.19
2006,229.03,3613.45
2007,139.28,3808.32
2008,145.11,4189.17
2009,215.1,4609.61
2010,167.33,5113.99
2011,182.04,5495.05
2012,141.12,5986.33
2013,249.55,6741.7
2014,11.99,7353.06
