Sports and Entertainment,Merchandise Sales,$
trend,random_on_off_stable,volatile_falling,random_on_off_rising
Year,Apex Athletics,Horizon Wear,Aura Apparel
1996,862369.97,1055363.15,1199760.54
1997,1128545.53,695330.61,916861.08
1998,953322.38,809345.0,941103.32
1999,1000000.0,976023.0,10000.0
2000,823145.19,266899.11,406544.68
2001,1000000.0,968962.75,1288802.24
2002,1000000.0,685964.73,1185916.55
2003,1000000.0,364630.84,1182077.79
2004,1000000.0,285951.04,630103.32
2005,1000000.0,304863.28,10000.0
2006,823659.92,278379.94,10000.0
2007,1000000.0,110114.1,480210.92
2008,1000000.0,383314.05,1559774.49
