Sports and Entertainment,Sponsorship Revenue,$
trend,volatile_falling,volatile_rising,exponential_rising,volatile_rising,exponential_rising,volatile_rising
Year,Crimson Comets,Golden Griffins,Silverleaf Sentinels,Shadowfen Spectres,Azure Armada,Ironwood Invincibles
1981,542108.87,405156.28,643525.05,495354.27,680131.45,676717.12
1982,437785.15,448572.9,448063.2,541284.48,558447.08,629537.31
1983,364448.8,607786.24,688256.83,244612.12,638927.63,648658.87
1984,494630.05,747506.66,735092.71,580056.28,664566.43,820948.71
1985,356744.69,513953.81,668446.69,659721.76,696746.85,565877.45
1986,345670.8,764800.1,848691.9,857612.71,813289.04,964243.85
1987,231571.78,965401.48,733325.7,606595.14,764818.03,1125839.92
1988,257201.92,598587.51,885943.98,660583.75,913860.74,816195.03
1989,9317.76,965612.76,1005108.06,698270.53,1033326.01,996716.98
1990,198694.94,1041543.34,1268325.3,928129.5,1190080.27,924328.37
1991,55459.52,741236.15,1286520.1,682374.68,1261092.13,938808.3
1992,5000.0,985204.2,1577447.19,847538.42,1470825.33,1006226.05
1993,174200.05,966659.75,1613120.19,959128.89,1551093.73,1243996.13
1994,183023.13,930617.02,1665027.93,897643.9,1904203.3,1072638.18
1995,125916.75,973294.59,1934727.54,1206754.52,2000378.55,1148159.92
1996,38657.14,1064000.96,1892830.6,1206870.66,2032827.76,1170273.89
1997,93917.27,957031.35,2258796.71,1082153.36,2193495.8,1189946.89
1998,5000.0,1347413.73,2430610.14,862236.07,2568550.81,1253176.4
1999,263527.2,1159866.61,2662182.59,1026838.79,2822157.04,1015835.89
2000,5000.0,1248550.8,3087408.46,1044461.64,3177702.11,1260861.48
2001,5000.0,1071390.91,3337370.14,1395872.84,3358559.41,1189814.79
2002,5000.0,1548558.67,3661140.22,1487811.03,3640985.62,1343653.62
