Tourism and Hospitality,Restaurant Reservations,reservations/week
trend,stable_rising,stable_rising,volatile_falling,volatile_falling,exponential_rising,exponential_falling
Year,Family Restaurants,Fine Dining,Rooftop Bars,Casual Eateries,Vegan Cafes,Street Food Hubs
1950,812.4,901.49,1558.01,711.89,1080.48,844.99
1951,978.95,504.23,875.21,970.14,1066.55,952.31
1952,1186.49,968.03,742.48,836.79,1482.62,1018.43
1953,1134.33,1040.04,721.54,533.65,1308.44,781.0
1954,1177.94,661.55,759.3,907.01,1573.02,867.42
1955,1331.74,795.31,1135.5,941.57,1457.82,700.24
1956,1428.41,1104.43,208.46,52.85,2342.99,146.16
1957,1268.2,1151.78,910.79,424.35,1876.11,320.78
1958,1035.35,1157.53,749.93,667.89,2131.47,540.37
1959,1439.17,1262.75,325.06,53.05,2219.5,118.21
1960,1349.92,1533.29,78.54,10.0,2545.33,360.52
1961,1580.18,1376.07,322.67,21.53,2462.45,266.47
1962,1514.17,1901.86,10.0,246.72,2814.97,10.0
1963,1252.95,1587.03,536.92,256.83,3529.6,63.85
