Transportation and Logistics,Cross-Border Delays,hours
trend,stable_rising,stable_falling,stable_falling
Year,Security Checks,Tariff Negotiations,Sanitary Inspections
1982,15.21,14.65,5.83
1983,14.63,13.97,10.32
1984,9.86,11.39,10.81
1985,11.26,14.36,9.55
1986,14.22,13.59,12.9
1987,16.19,15.99,17.77
1988,20.43,7.91,19.91
1989,15.03,17.19,7.82
1990,19.61,17.15,16.59
1991,12.49,12.62,13.49
1992,14.89,15.98,16.66
1993,22.17,18.61,15.87
1994,14.92,16.73,17.82
1995,23.26,19.62,16.96
1996,21.52,16.87,20.57
1997,28.68,20.36,22.83
1998,18.96,17.21,23.66
1999,25.08,22.36,21.04
2000,21.34,20.87,17.72
2001,26.58,21.44,17.46
2002,24.77,14.21,16.17
2003,21.59,12.88,20.96
2004,18.59,18.27,18.94
2005,26.11,24.77,20.38
2006,25.47,24.41,24.5
2007,25.66,20.0,17.59
2008,21.55,16.73,16.42
