Business and Finance,Revenue Growth,$
Year,Ironclad Ventures,Apex Systems,Vanguard Dynamics
trend,volatile_falling,exponential_falling,volatile_falling
1979,10078192.07,9039077.21,6794687.73
1980,13629619.5,7776603.82,12189401.51
1981,10284034.57,11270624.19,10260990.5
1982,8004175.2,6826696.06,10112095.7
1983,7925293.98,5960464.08,565031.51
1984,422582.06,3245890.63,7637808.29
1985,9718100.87,5442325.9,6276193.63
1986,10627687.62,6066355.62,7932281.16
1987,4926427.69,3515019.06,3090466.83
1988,561272.89,3465107.52,2930599.09
