Business and Finance,Net Profit Margin,%
trend,stable_rising,stable_falling,stable_rising,exponential_rising,stable_rising
Year,Starlight Innovations,Vanguard Dynamics,NovaTech Solutions,Horizon Enterprises,Aegis Corp
1989,15.11,16.3,16.62,14.01,14.79
1990,14.72,15.83,17.41,14.04,15.25
1991,15.21,14.77,17.11,18.94,17.08
1992,17.89,17.56,17.27,19.18,18.38
1993,17.61,15.59,17.06,21.6,18.71
1994,18.29,15.69,19.11,21.71,18.82
1995,18.29,18.64,18.09,26.68,20.61
1996,19.92,17.38,19.07,28.77,21.27
1997,20.72,18.34,21.26,31.45,19.07
1998,19.74,20.56,20.54,35.98,20.53
1999,24.43,20.16,22.81,37.74,22.48
2000,21.84,19.92,23.94,41.56,25.67
2001,24.69,20.03,24.74,50.06,23.07
2002,22.42,20.45,23.18,52.27,22.87
2003,25.87,19.94,24.98,58.17,26.33
2004,25.49,22.15,26.45,62.52,25.55
2005,26.48,22.57,26.27,67.99,26.23
2006,27.04,23.99,29.34,74.78,27.48
2007,27.48,22.43,29.62,86.34,29.37
