Cultural Trends and Influences,Book Sales,copies
trend,volatile_falling,volatile_rising,volatile_falling,stable_falling,exponential_falling,stable_falling
Year,Stellar Page Editions,Azure Ink Works,Crimson Quill Publishing,Zenith Imprints,Borealis Books,Scrolls of Meridian
1952,604691.86,204082.79,684005.96,527747.21,442732.01,525256.45
1953,731360.15,617812.83,446147.84,421130.67,374944.25,541751.03
1954,262621.41,698162.96,19714.24,549062.79,403024.44,459237.53
1955,301146.8,303342.11,493304.86,575189.49,507111.44,526479.25
1956,610946.84,549807.3,573284.54,561532.03,135393.46,595079.28
1957,378343.34,571837.89,428115.04,466310.05,436276.75,578359.64
1958,466138.32,799554.57,402882.69,725423.97,239013.28,480614.06
1959,5000.0,651461.79,542223.23,594568.17,281761.08,670971.14
1960,347136.24,797167.96,540928.5,620705.24,274115.62,583226.69
1961,69045.73,855897.73,353435.83,646113.89,300203.19,653068.44
1962,434293.58,881602.32,464403.47,728741.03,221850.58,633497.25
1963,90581.49,1106706.01,176988.35,710388.41,183113.31,710287.55
1964,5000.0,717097.4,467121.13,646108.65,124670.27,711301.46
1965,30636.0,1048514.66,5000.0,658026.24,58578.48,746267.81
1966,43085.15,821713.02,5000.0,743345.68,75251.19,757915.0
1967,5000.0,1523201.82,5000.0,701097.99,20107.46,715282.21
1968,43932.91,978550.63,26720.81,651334.54,107435.88,739689.74
1969,74482.18,857681.51,19418.26,761341.68,83655.1,685467.63
1970,5000.0,1134772.03,196859.66,762646.76,87479.6,836750.48
1971,5000.0,1316012.03,32206.44,779782.34,25346.32,812578.39
1972,41971.32,1198808.6,5000.0,843399.22,84142.31,753227.98
1973,200112.4,1377977.83,13807.14,723098.14,111557.77,749975.79
1974,172813.93,1195394.89,5000.0,910303.76,5000.0,715766.51
1975,5000.0,1226434.56,5000.0,931179.75,8890.52,895364.98
1976,5000.0,1648429.32,5000.0,871447.78,5000.0,830096.33
1977,5000.0,1409620.3,5000.0,839098.45,28715.29,846805.36
1978,5000.0,1661143.99,5000.0,899749.51,34819.92,834432.65
