Cultural Trends and Influences,Cultural Event Funding,$
trend,periodic_stable,stable_falling,exponential_falling,exponential_falling,volatile_rising
Year,Stellar Cultural Development Agency,Azure Creative Trust,Meridian Heritage Fund,Silverhaven Arts Foundation,Aethelgard Cultural Council
1951,52434482.53,59176351.87,40607938.92,36537421.75,45643762.42
1952,55290143.39,29987370.12,25580521.91,43531631.11,94976877.31
1953,64563863.35,64878061.93,32704419.96,22959252.26,66434560.04
1954,42853951.07,54256658.62,35620661.28,18776974.49,81622393.73
1955,28611745.74,56741891.42,57069100.58,31794230.02,71419947.27
1956,57943367.98,48820174.42,10320721.81,35798827.24,109439748.83
1957,59421900.14,42887834.9,24431155.27,13121949.2,52653360.06
1958,51600186.43,54729116.88,17101016.33,16067263.53,62925461.78
1959,58591733.69,72108944.79,49360726.5,25690946.14,72777722.38
1960,43075304.33,62644357.7,28124819.89,13664373.95,99904905.8
1961,46282541.01,69491052.15,20760358.94,500000.0,83131755.56
1962,53614339.59,73339724.85,500000.0,18234556.72,82938519.02
1963,55054316.74,58739277.27,10114542.49,500000.0,94514913.92
1964,42067314.64,70056704.91,500000.0,500000.0,133893840.24
1965,42739062.59,73211376.51,9419791.13,500000.0,82149232.16
1966,47327094.5,70011662.17,32404002.2,500000.0,99103823.68
1967,60234377.43,83951195.49,11792680.05,11539305.87,85089082.32
1968,65130932.73,75815582.35,500000.0,11924705.4,116112333.4
1969,39032521.0,95176897.58,23544399.63,18060890.18,129379446.86
1970,38786416.05,64565243.27,7384290.12,8263597.66,153600668.54
