Energy and Utilities,Electricity Demand,MWh
Year,Zenith Utility Services,Aethelgard Power Grid,Meridian Energy Network
trend,stable_falling,volatile_falling,exponential_rising
1997,978346785.1,837456002.06,1041668688.92
1998,1070790387.31,922222836.72,1170444754.74
1999,1056166893.37,727288151.58,1173307993.39
2000,1129588744.45,581691072.49,1280284208.53
2001,1087458910.49,684571071.95,1489971917.59
2002,1121825590.3,999652143.84,1671073851.27
2003,1202030449.36,772870453.84,1815011356.15
2004,1250121053.33,365555163.9,1888994918.83
2005,1238678660.87,439309624.49,2246382550.03
2006,1254879028.93,429013839.4,2425846461.56
2007,1263430455.08,387755599.8,2638370186.7
2008,1260252361.21,263084811.01,2897479926.05
2009,1340667118.14,389822241.43,3216202351.78
2010,1286469622.39,229068367.45,3367412569.15
2011,1394066996.19,10000000.0,3832309007.68
2012,1501642935.99,148213935.4,4082990501.0
2013,1512825917.54,27275679.7,4594335995.2
2014,1517906122.74,10000000.0,5121955950.79
2015,1565436949.01,10000000.0,5514711975.89
2016,1621304339.27,10000000.0,6046784992.51
2017,1603418644.39,10000000.0,6719646449.69
2018,1641035173.66,10000000.0,7388660752.91
2019,1634248743.79,10000000.0,8111969989.8
2020,1671628331.47,10000000.0,8941505660.54
2021,1782022658.29,10000000.0,9971866594.64
