Energy and Utilities,Carbon Emissions,tons
trend,stable_falling,volatile_rising,stable_rising,exponential_falling
Year,TerraGen Power,Solara Energy Corp,Stellar Grid Solutions,Meridian Gas & Electric
1969,4983745.52,3658780.94,5160458.47,5317382.68
1970,5558752.89,4793062.21,5085561.78,4781011.82
1971,5272545.28,6163229.03,5571117.31,5365562.75
1972,5379371.34,5980665.5,5802420.99,2954829.73
1973,4964273.68,6547610.23,6077123.48,3668948.1
1974,6550981.51,8194410.87,6356426.57,1813972.23
1975,6270404.82,6463653.7,6412900.43,4215554.1
1976,6017767.33,5858237.95,6822010.3,1925313.26
1977,5999594.05,8801449.56,7274372.57,2732808.15
1978,5610007.96,8902321.85,6871940.76,1847474.37
1979,6146281.56,8531266.99,8177471.28,2178490.25
1980,7234176.64,8689819.86,7072604.34,1800062.5
1981,6646233.67,8160699.87,8273268.94,1903524.48
1982,6397057.18,11653739.76,8247590.85,1209382.87
1983,7920847.54,11565196.55,7459517.59,801100.69
1984,6971319.52,11520010.52,8634588.01,2078092.06
1985,7341157.24,11168962.82,9106904.16,1237829.81
1986,7933663.7,12184277.83,9163278.62,1121137.95
1987,7572001.68,12177586.83,9814268.43,50000.0
1988,7719733.83,14326111.58,10209202.17,114989.51
1989,8028191.21,11381747.92,9555031.33,50000.0
1990,7866135.9,13595277.05,10279155.32,524330.47
1991,9086140.29,12885057.15,10356672.76,1067354.84
1992,8566593.66,14745184.27,11037903.39,50000.0
1993,8420033.56,16075779.92,10876151.07,1144310.34
1994,8507623.55,16515908.4,10844011.24,703246.12
