Healthcare and Health,Patient Visits,visits/month
Year,Vitality Clinic,Meridian Health Post,Stellar Care Facility,Aegis Medical Center,Summit Health Annex
trend,volatile_rising,volatile_falling,exponential_rising,stable_falling,exponential_rising
2003,589568.62,982623.97,1066004.68,1021880.64,864488.12
2004,1073229.14,823949.55,936088.39,1024312.43,956265.11
2005,1154380.22,1051389.46,1188381.68,987010.37,1197992.7
2006,1113374.31,762755.83,1292662.58,1096474.15,1349320.84
2007,1295723.66,782859.36,1571322.73,1249975.27,1632010.27
2008,1185939.61,587855.62,1607223.53,1081750.63,1675967.15
2009,1840771.33,850504.47,1768662.82,1196779.86,1612611.88
2010,1377273.27,727470.47,1992670.07,1154497.9,2041861.48
2011,1416000.44,433682.53,2243017.02,1339983.82,2247070.06
2012,1802566.5,232793.45,2179900.01,1169864.47,2372379.3
2013,1862263.52,738494.87,2619980.57,1231232.04,2767144.97
2014,1754104.54,384838.58,2915181.08,1325652.56,2968641.57
2015,1952522.36,10000.0,2856361.76,1334358.64,3078675.6
2016,2148435.17,353591.67,3442874.06,1350895.69,3503035.69
2017,2063432.94,328079.44,4051447.62,1491144.63,3763847.08
2018,2100061.78,10000.0,4051022.05,1385215.11,4174502.97
2019,2117663.13,111746.2,4510747.91,1525888.51,4477973.88
2020,2334294.07,10000.0,5087541.98,1486588.9,4973463.86
2021,2006689.95,153809.95,5617434.78,1509759.13,5582216.28
2022,2926582.25,10000.0,6080121.2,1484647.5,6217223.25
