Real Estate and Housing Market,Vacancy Rate,%
trend,exponential_rising,exponential_falling,volatile_rising,stable_falling,volatile_rising
Year,Oceanview Condos,Ironpeak Residences,Crystal Cove Villas,Sunstone Lofts,Green Valley Homes
1996,4.95,5.32,4.93,4.83,4.94
1997,5.46,4.63,5.64,5.18,4.96
1998,5.73,3.97,5.93,5.36,6.01
1999,6.58,3.9,6.43,5.22,6.23
2000,7.47,3.15,5.88,5.68,6.92
2001,8.08,2.86,6.98,5.73,7.02
2002,8.78,2.67,7.47,5.92,7.28
2003,9.96,2.29,7.5,6.06,7.44
2004,10.61,2.29,7.86,6.08,8.42
2005,12.03,1.94,8.92,6.47,8.03
2006,12.77,1.83,9.44,6.73,8.95
2007,13.98,2.14,9.54,6.64,10.98
2008,15.68,1.29,10.25,6.78,10.18
2009,17.45,1.45,10.34,7.12,9.87
2010,18.59,0.92,10.88,7.06,10.37
2011,21.05,1.26,12.12,7.44,10.75
2012,22.92,1.05,12.14,7.22,11.33
2013,25.38,0.94,12.06,7.59,12.26
2014,27.87,0.72,12.46,7.82,12.37
2015,30.66,0.83,11.91,7.98,12.56
2016,33.44,0.9,14.0,8.15,13.24
2017,37.06,0.71,12.72,8.19,13.96
2018,40.86,0.55,13.64,8.5,13.28
2019,44.66,0.05,13.77,8.71,13.34
2020,49.01,0.35,14.71,8.34,15.03
2021,54.24,0.67,15.43,8.84,14.79
