Science and Engineering,Engineering Graduates,students
Year,Nova Institute,Oracle Labs,Luminara Academy,Starburst College,Echo Research,Crimson Foundation,Aether University
trend,stable_falling,periodic_stable,volatile_rising,periodic_stable,exponential_falling,stable_falling,exponential_falling
2005,980.37,1012.32,1282.6,1001.67,1004.29,1019.48,1056.16
2006,1160.36,1209.31,1004.12,1261.7,779.5,1071.23,802.87
2007,1150.26,1055.02,1267.91,1150.06,833.67,1078.28,858.21
2008,1038.17,848.35,1305.77,832.65,823.25,1120.62,716.86
2009,1160.41,774.9,1626.68,788.2,506.24,1068.44,532.01
2010,1169.55,1006.62,868.75,961.75,624.73,1272.59,687.08
2011,1100.46,1229.99,1392.86,1158.58,344.15,1128.23,616.11
2012,1227.41,1177.71,1293.24,1184.59,511.77,1334.81,391.78
2013,1277.86,805.42,1197.71,870.96,440.49,1272.16,314.65
2014,1326.14,720.92,1850.35,773.82,461.05,1321.52,504.95
2015,1224.74,990.06,1837.06,950.4,316.22,1340.4,395.79
