Social Media and Digital Media and Streaming,Daily Active Users,users
Year,Luminara,NovaStream,CrimsonLink,OracleFeed,EchoWave,Starburst Online,AetherNet
trend,exponential_falling,stable_falling,periodic_stable,periodic_stable,volatile_falling,volatile_rising,exponential_falling
1969,822513561.57,1040826844.81,1125154384.78,1020013674.22,1750834729.85,192501760.92,1011025815.88
1970,798809349.71,787885908.44,1180106667.71,1098528315.01,880794231.16,951934437.58,527374708.51
1971,645854589.24,706357916.7,1194288631.16,1041803804.64,1161739240.52,10000000.0,597530937.21
1972,726738360.63,694037988.17,846827164.07,757482894.79,919026697.13,2211277110.93,568530272.88
1973,425172665.73,829262494.9,513596622.39,960629538.74,1203128085.24,2012802137.97,895416854.81
1974,766780540.5,1208757219.57,1046958650.56,965130356.51,191983908.33,1767760710.13,541363968.83
1975,500620655.65,1321361646.41,1239321828.25,1101365585.39,1672572535.24,1628601618.17,325295881.29
1976,393946909.14,1427499797.34,1116769068.98,1263952693.92,467352525.81,1660027905.0,742331703.09
1977,564054969.34,1322609285.18,1105176112.3,704927625.11,410619212.85,1380565756.76,701440444.59
1978,149815901.23,1617490249.56,687423993.32,792479830.57,10000000.0,1653792222.0,609048567.33
1979,649614263.71,1704716859.89,1034987681.04,1009722906.07,718704437.89,1815604252.2,287426697.93
1980,318341802.41,1368617404.43,1345906991.9,1159389888.59,10000000.0,1232668503.01,139984026.31
1981,78454277.66,1719995084.76,1236985154.45,1089240766.08,90812394.99,1674997754.94,450272416.7
1982,10000000.0,1207531076.55,853091115.2,997081013.14,10000000.0,2090827881.98,32179181.27
1983,560730271.47,1330321347.59,794244632.07,846597244.65,518224189.87,2525659132.19,316992845.79
1984,326798811.91,1291414892.17,1107666464.61,1079394982.93,668460950.03,1099700151.73,10000000.0
1985,10000000.0,1716550929.09,982632513.57,1268241404.03,88382612.03,2193698231.86,438220605.15
1986,10000000.0,1507414686.32,1013017579.29,1110242263.0,478444703.71,1993417871.89,645864164.15
1987,223928708.25,1354794454.9,989787144.05,766264663.1,408369986.03,3408793075.77,10000000.0
1988,256170107.6,1674259990.24,892138810.59,701924281.82,10000000.0,2336722802.63,10000000.0
1989,10000000.0,1454706162.46,1099016584.88,948319440.76,10000000.0,1595813214.46,390506478.24
1990,10000000.0,1812965632.23,1250019324.81,1260243240.07,10000000.0,2675003407.15,10000000.0
1991,276746114.09,1562490075.69,1114678903.91,1224536088.74,10000000.0,2508854198.66,10000000.0
1992,138544045.47,1697448751.76,779991435.13,975786936.68,10000000.0,2345441657.95,83692516.64
1993,341865125.22,1461731439.07,714148120.7,729995621.67,10000000.0,1938450021.26,10000000.0
