Sports and Entertainment,Merchandise Sales,$
trend,volatile_falling,stable_rising,volatile_rising,periodic_stable,exponential_rising,exponential_rising
Year,Starlight Merchandise,Horizon Wear,Aura Apparel,Emerald Sports Co.,Apex Athletics,Titan Gear
1971,1423528.52,1167864.43,1344460.39,977499.01,1079488.46,1163741.8
1972,844779.66,817462.66,1468419.99,1271599.79,1039028.55,1238424.43
1973,690005.03,1172660.92,761740.77,1088558.56,919338.92,807698.87
1974,733682.04,1000810.36,1586671.12,736196.03,1725979.55,1130058.94
1975,234920.83,964408.18,1945690.85,888285.84,1445129.83,1623480.52
1976,968583.22,1161935.06,1258655.27,869219.79,1640774.4,1731445.04
1977,463519.45,1247865.28,937557.03,1239416.64,1640703.26,1826508.91
1978,398043.51,1230330.55,1586412.33,1088300.07,2532063.26,2055772.36
1979,613954.08,1360479.01,913748.22,1014802.78,2269488.84,1966792.26
