Sports and Entertainment,Fan Engagement,index
trend,volatile_falling,volatile_rising,stable_rising,stable_falling,exponential_rising,volatile_rising
Year,Crimson Faithful,Golden Enthusiasts,Azure Legion,Silverleaf Supporters,Veridian Followers,Shadowfen Devotees
1983,41.87,46.65,69.04,75.8,73.18,32.96
1984,70.54,67.93,73.58,72.27,71.16,68.07
1985,37.52,72.73,77.8,75.17,68.67,68.1
1986,55.48,79.56,80.67,84.69,81.32,75.97
1987,31.66,86.42,87.19,82.21,106.22,90.04
1988,80.46,70.84,88.15,82.46,105.32,102.82
1989,80.76,71.86,81.17,78.65,136.38,119.87
1990,50.42,96.78,95.0,89.05,133.67,114.33
1991,63.91,128.99,78.44,84.72,142.9,86.6
1992,38.7,150.69,98.11,85.07,156.29,146.46
1993,55.66,130.28,113.98,79.43,180.95,135.02
