Tourism and Hospitality,Restaurant Reservations,reservations/week
trend,volatile_falling,exponential_rising,periodic_stable,exponential_rising
Year,Rooftop Bars,Street Food Hubs,Fine Dining,Casual Eateries
1963,1364.36,535.76,920.16,1126.84
1964,1681.97,673.19,1238.19,1583.19
1965,1042.84,1860.91,1031.43,1644.87
1966,1517.68,1572.7,770.31,1170.28
1967,10.0,1824.07,819.38,1907.09
1968,2249.12,1283.83,1043.66,1977.36
1969,253.14,1568.83,1345.17,2358.23
1970,80.33,1263.17,1224.88,1643.25
1971,10.0,1990.92,815.08,2428.19
1972,915.43,2169.03,908.02,3047.94
1973,590.5,2537.42,897.38,1784.14
1974,556.5,3083.08,1141.01,2674.8
1975,1254.35,3383.03,1406.13,2613.89
1976,10.0,3161.19,935.74,3740.82
