Tourism and Hospitality,Luggage Loss Rate,%
trend,stable_rising,periodic_stable,exponential_rising,stable_falling,volatile_falling
Year,Bus Stations,Car Rentals,Ferry Services,Regional Airports,High-Speed Trains
1969,1.7,1.47,1.71,1.32,1.28
1970,1.7,1.85,1.3,1.59,1.63
1971,1.64,1.72,1.66,1.61,0.94
1972,1.8,1.23,1.85,1.36,1.03
1973,1.7,1.08,2.03,1.65,1.8
1974,1.91,1.52,2.57,1.65,1.17
1975,2.03,1.83,2.7,1.94,0.17
1976,2.06,1.62,2.93,1.85,0.81
1977,2.17,1.2,3.24,1.81,1.23
1978,2.1,1.17,3.34,2.03,0.94
1979,2.18,1.53,4.01,2.17,0.45
1980,2.28,1.86,4.28,1.99,0.93
1981,2.44,1.7,4.47,2.07,0.3
1982,2.61,1.2,4.96,2.16,0.85
1983,2.59,1.24,5.66,1.98,0.58
1984,2.52,1.66,6.46,2.43,0.01
1985,2.62,1.88,6.93,2.23,0.51
1986,2.74,1.71,7.19,2.23,0.01
1987,2.77,1.36,8.14,2.38,0.01
1988,3.11,1.13,8.9,2.45,0.01
1989,2.99,1.58,9.79,2.3,0.01
1990,2.96,1.84,11.22,2.58,0.01
1991,3.11,1.74,12.37,2.36,0.18
