Transportation and Logistics,Cargo Shipments,tons/month
Year,Continental Freight,QuickShip Logistics,Rail Networks,Air Express
trend,exponential_falling,stable_falling,periodic_stable,stable_falling
1997,118395.48,127209.03,105226.4,104973.03
1998,100067.05,102527.43,107969.93,146321.01
1999,100729.91,93343.14,107721.18,120247.87
2000,122382.62,83128.24,86804.77,123650.71
2001,43909.65,87157.48,87708.34,99033.18
2002,29368.71,125089.67,88702.38,160431.04
2003,38283.04,120630.36,116984.93,114011.63
2004,45324.26,163281.23,114204.88,102507.19
2005,1932.74,106344.95,88476.95,159780.77
2006,57251.69,113773.57,83617.2,102793.86
2007,20182.99,102707.26,96744.46,139794.88
2008,75754.42,146691.09,109470.77,128214.91
2009,12061.34,102112.93,127518.67,124087.37
2010,25635.85,147132.62,91011.13,166923.07
2011,98498.3,131751.5,74216.29,108169.12
2012,17995.06,163234.83,92217.16,168290.14
2013,12017.36,157989.22,130414.31,125511.73
2014,14892.87,169549.44,118999.51,162217.83
2015,1000.0,142400.16,79745.14,132070.97
2016,20756.11,152868.93,84814.21,156911.2
2017,1000.0,147647.53,104554.56,135268.17
2018,12655.1,147678.86,130489.19,141538.23
2019,1000.0,149363.27,121999.93,170644.27
