Transportation and Logistics,On-Time Delivery Rate,%
Year,Oversized Loads,Automotive Parts,Same-Day Couriers,Refrigerated Transport,Pharmaceuticals
trend,periodic_stable,volatile_rising,stable_falling,periodic_stable,stable_falling
1985,90.09,11.6,78.96,92.64,80.71
1986,100,100,100,100,100
1987,95.5,100,91.48,100,100
1988,79.41,100,100,77.77,100
1989,66.04,100,100,73.31,94.64
1990,96.08,88.6,100,83.2,100
1991,100,99.83,100,100,96.54
1992,100,100,100,100,94.42
1993,79.92,100,100,78.3,100
1994,73.24,100,100,66.86,100
1995,87.83,100,100,88.44,100
1996,100,100,100,100,100
1997,100,100,100,100,100
1998,81.12,100,100,80.87,100
1999,66.98,100,100,68.02,100
2000,80.39,100,100,99.55,100
