Transportation and Logistics,Driver Satisfaction,index
trend,exponential_rising,stable_falling
Year,Drone Pilots,Long-Haul Operators
1955,76.75,71.54
1956,76.54,90.89
1957,104.32,87.35
1958,106.96,81.18
1959,120.31,87.76
1960,118.23,89.0
1961,135.97,91.92
1962,157.23,84.91
1963,173.1,83.53
1964,185.12,105.83
1965,193.94,108.03
1966,218.31,104.5
1967,252.99,100.33
1968,261.68,104.29
1969,292.34,119.82
1970,324.87,115.3
1971,366.21,124.04
1972,392.47,118.26
1973,436.97,136.18
1974,474.52,123.64
1975,535.09,127.13
1976,575.19,131.4
1977,625.31,139.33
1978,712.05,132.71
1979,779.7,133.34
1980,848.45,145.93
1981,927.77,127.88
