Cultural Trends and Influences,Cultural Engagement Distribution by Category (2024),%
parent,child,value
Root,Cultural Participation,41.96
Cultural Participation,Art Festivals,21.98
Art Festivals,Local Festivals,12.81
Art Festivals,International Events,9.17
Cultural Participation,Heritage Engagement,19.98
Heritage Engagement,Museum Visits,7.39
Heritage Engagement,Site Tours,12.59
Root,Digital Culture,24.99
Digital Culture,Streaming Culture,8.2
Streaming Culture,Cultural Podcasts,8.2
Digital Culture,Online Exhibitions,16.79
Root,Creative Expression,33.05
Creative Expression,Performing Arts,33.05
