Education and Academics,Education Distribution by Category (2024),%
parent,child,value
Root,Higher Education,28.09
Higher Education,Postgraduate,6.32
Higher Education,Undergraduate,21.77
Undergraduate,Liberal Arts Colleges,14.4
Undergraduate,Research Universities,7.37
Root,Informal Learning,33.04
Informal Learning,Community Learning,19.94
Community Learning,Non-Profit Programs,12.34
Community Learning,Public Libraries,7.6
Informal Learning,Online Education,13.1
Online Education,MOOCs,13.1
Root,Formal Education,38.88
Formal Education,Primary Education,38.88
