Energy and Utilities,Energy Distribution by Category (2020),%
parent,child,value
Root,Energy Sources,24.39
Energy Sources,Fossil Fuels,18.25
Fossil Fuels,Oil,7.5
Fossil Fuels,Coal,10.75
Coal,Surface Mining,5.58
Coal,Underground Mining,5.17
Energy Sources,Renewables,6.14
Root,Energy Consumption,22.56
Energy Consumption,Industrial,10.85
Industrial,Manufacturing,5.03
Industrial,Mining,5.82
Energy Consumption,Residential,11.71
Residential,Heating,11.71
Heating,Gas Heating,5.21
Heating,Electric Heating,6.5
Root,Energy Infrastructure,53.05
Energy Infrastructure,Transmission,53.05
