Agriculture and Food Production,Agriculture Production Distribution by Category (2024),%
parent,child,value
Root,Agricultural Inputs,24.87
Agricultural Inputs,Seeds,14.49
Seeds,Hybrid Seeds,7.72
Seeds,Heirloom Seeds,6.77
Agricultural Inputs,Fertilizers,10.38
Fertilizers,Organic,5.04
Fertilizers,Nitrogen,5.34
Root,Livestock,26.49
Livestock,Poultry,15.59
Poultry,Broilers,15.59
Broilers,Intensive,7.62
Broilers,Free-Range,7.97
Livestock,Cattle,10.9
Root,Crop Production,48.64
Crop Production,Oilseeds,48.64
