Real Estate and Housing Market,Housing Market Distribution by Category (2023),%
parent,child,value
Root,Residential Property,55.6
Residential Property,Multi-Family Homes,34.44
Multi-Family Homes,Duplex,22.82
Duplex,Owner-Occupied,6.45
Duplex,Fully Rented,10.96
Duplex,Basement Units,5.42
Multi-Family Homes,Apartments,11.62
Apartments,High-Rise,6.52
Apartments,Low-Rise,5.1
Residential Property,Single Family Homes,21.16
Single Family Homes,Semi-Detached,15.18
Single Family Homes,Detached,5.98
Root,Rental Market,21.8
Rental Market,Long-Term Rentals,10.07
Long-Term Rentals,Apartments,10.07
Rental Market,Short-Term Rentals,11.73
Root,Commercial Real Estate,22.6
Commercial Real Estate,Retail Spaces,22.6
